项目名称,项目简介,主要产品,业主方,所在地,行业,大类
年产35万吨聚氯乙烯项目,"['该项目位于陕西省榆林经济开发区，由陕西天桥环渤海化工有限公司投资建设，年产35万吨聚氯乙烯。', '项目总投资30亿元。']",年产聚氯乙烯35万吨。,['陕西天桥环渤海化工有限公司'],陕西省榆林经济开发区,化工医药,化工医药
渭河发电厂热电联产技改脱硫工程,"['大唐渭河发电厂位于西安经济圈向北拓展的龙头，西咸一体化的交汇地，西距咸阳市中心20千米，南距西安钟楼17千米，厂区周边半径20千米以内的四个方向均是咸阳、西安重要的经济发展区域，热负荷需求很大，供热覆盖面极广。', '该项目为热电联产技改脱硫工程，对2台国产30万千瓦燃煤单抽供热机组进行烟气脱硫处理。', '工程总投资1.3亿元。']",对2台国产30万千瓦级燃煤单抽供热机组进行烟气脱硫处理。,['大唐渭河发电厂'],陕西省咸阳市渭城区,"电力,环保",电力
安康至常德铁路安康境内工程,"['安康至常德铁路起于陕西省安康市月河火车站，终于湖南常德市，总长650公里，建设标准为国铁一级单线电气化铁路，建成后将连接陕西、重庆、湖北、湖南四省市，是西部地区通往华南、华东地区的南北通道。工程总投资204.75亿元，建设工期5年。', '该工程是安常铁路安康境内段，建设长度为100公里。', '工程总投资32亿元。']",铁路全长100公里。,['安康市发改委'],陕西省安康市,交通运输,交通运输
渭河发电厂热电联产技改工程,"['大唐渭河发电厂位于陕西省西安经济圈向北拓展的龙头，西咸一体化的交汇地，西距咸阳市中心20公里，南距西安钟楼17公里，厂区周边半径20公里以内的四个方向均是咸阳、西安重要的经济发展区域，热负荷需求很大，供热覆盖面极广。现有装机两台50兆瓦燃煤凝汽式机组，分别于1970年、1971年建成投产。', '该工程为热电联产技改工程，利用拆除原有机组后的场地建设两台国产300兆瓦燃煤单抽供热机组，在布置上留有扩建余地。', '工程总投资26亿元。']",建设两台国产300兆瓦燃煤单抽供热机组。,['大唐渭河发电厂'],陕西省咸阳市渭城区,电力,电力
延安职业技术学院建设工程,"['该工程位于陕西省延安市宝塔区枣园乡莫家湾村，为一项教育发展项目，主要建设内容包括6栋2层高的教学楼、1栋9层高的办公楼、6栋实验实训楼、4座学生食堂餐厅、1栋图书楼、体育场馆各1个、6栋学生公寓、1栋教师公寓以及供暖锅炉房和校园绿化、硬化，总建筑面积为21.62万平方米。', '工程总投资4.72亿元。']",总建筑面积为21.62万平方米。,['延安职业技术学院'],陕西省延安市宝塔区枣园乡莫家湾村,建筑,建筑
年产20万吨醋酸项目,"['该项目位于陕西省榆林市榆横工业园区，由陕西延长石油(集团)有限责任公司投资，以煤制甲醇为原料，建设年产20万吨醋酸装置。', '项目总投资19亿元。']",年产醋酸20万吨。,['陕西延长石油（集团）有限责任公司'],陕西省榆林市,化工医药,化工医药
宝鸡市蔡家坡龚刘渭河大桥工程,"['该工程位于陕西省宝鸡市蔡家坡，为新建跨河桥，大桥长1215米，全宽18.5米，主桥为30米预应力箱梁，引桥为20米预应力空心板梁，钻孔灌注桩基础，抗震8级。', '工程总投资4880万元。']",大桥长1215米，宽18.5米。,['宝鸡市城市建设局'],陕西省宝鸡市,"交通运输,市政公用",其他
药用植物提取物项目,[0],年产30余种天然植物提取物有效成份单体3000公斤。,[0],陕西省西安市,化工医药,化工医药
危险废物处置中心建设项目（国债）,"['该项目位于陕西省咸阳市礼泉县西张堡镇以东2.5公里，厂区东西长约359米，南北宽约352米，总面积12.64公顷。承担陕西省各市（除汉中市和安康市）的工业及其它危险废物的集中处置，同时承担咸阳市和杨凌现代农业示范区的医疗废物处理任务。项目建设规模为年处理原生废物15538吨，物化处理车间处理能力8400吨/年，其中包括入厂废酸1310吨/年、车间冲洗废水2100吨/年、实验室废液1500吨/年、洗车废水1500吨/年、填埋场渗沥液1800吨/年；焚烧车间处理规模7920吨/年；稳定固化车间规模7500吨/年，包括入厂固化废物6467吨/年、焚烧后产生的飞灰570吨/年，物化中和残渣208吨/年；安全填埋规模12500吨/年，包括固化处理废物7245吨/年、焚烧炉渣2217吨/年、稳定固化剂2515吨/年、水500吨/年。近期安全填埋库容8万立方米，服务年限8年。', '项目总投资12160万元。']",年处理原生废物15538吨。,['陕西中兴百绿环保工程有限责任公司'],陕西省咸阳市礼泉县西张堡镇以东2.5公里,"市政公用,环保",其他
西安地铁2号线（一期）项目,"['西安地铁二号线从西安铁路北客站到长安韦曲，线路全长26.4公里，共设车站20座，总投资97.8亿元，是西安市南北走向的主要客流通道。', '该项目为一期工程，北起铁路北客站，线路沿西安市南北向主客流走廊布设，经铁路北客站、市行政中心、经济开发区、北大街、钟楼、小寨商业文化中心、高新开发区、西安国际展览中心至长延堡，线路长20.6公里。设铁路北客站、麻家什字、城运村、张家堡、尤家庄、南康村、方新村、龙首村、北关、北大街、钟楼、南门、南稍门、草场坡、小寨、八里村、长延堡17座车站，有5座车站分别与其它轨道交通线换乘。工程于北郊经济技术开发区设车辆段一座，于张家堡广场西南侧设控制中心一座，全线共设2座主变电站，分别位于张家堡及长延堡。车辆采用B型车，最高行车速度80公里/时，列车编组为6辆。远期运能4.32万人次/小时。', '项目总投资76.22亿元。']",线路全长20.6公里。,['西安市地铁建设指挥部办公室'],陕西省西安市,交通运输,交通运输
汉中市江南污水处理（一期）工程,"['汉中市江南污水处理厂位于陕西省汉中市大河坎区东南部的冷水河桥西侧，河堤以北，占地6公顷，其中厂区占地4.25公顷、代征城市道路1.75公顷。工艺选用卡鲁塞尔2000型氧化沟工艺，实行二级处理。出水水质达到国家GB18918-2002《城镇污水处理厂污染物排放标准》的一级B标准。污泥进行浓缩脱水后再进行最终处置。污水处理厂建设总规模为日处理污水5万立方米，一次布局设计，分期建设。总投资8498.39万元。', '该项目为污水厂一期工程，日处理污水2.5万立方米。', '工程总投资6466.16万元。']",日处理污水2.5万立方米。,['汉中市城乡建设管理局'],陕西省汉中市大河坎区东南部的冷水河桥西侧，河堤以北,"市政公用,环保",其他
渭河龙山河口段防洪暨生态治理橡胶坝（一期）工程,"['渭河龙山河口段防洪暨生态治理橡胶坝工程位于陕西省宝鸡市，建设任务是在不影响渭河防洪安全的前提下，通过疏浚整治河道和修建橡胶坝，利用部分河道蓄水形成景观水面，改善城市河道生态环境，治理河段全长1.94公里。橡胶坝设计水位577.93米，蓄水库容145万立方米，形成回水长度1.84公里，水面面积85万平方米，为小（1）型Ⅳ等工程，防洪标准按10年一遇洪水设计，为4级建筑物，坝高3.5米，坝顶全长412.35米，分5个坝段布置，采用充水式坝袋。充排水泵站设5台水泵，总装机容量5×55千瓦。护滩工程为梯形断面防护堤，按临时建筑物设计，防护堤全长1407米，堤顶宽度3-8米，临水坡坡比1：2.5，背水坡坡比1：3。工程总投资1.4亿元。', '该工程为一期工程，建设二级坝长408米。总投资4500万元。']",建设二级坝长408米。,['宝鸡市市区河道综合治理委员会'],陕西省宝鸡市渭河龙山河口段,"农林水利,建筑,市政公用",建筑
黄陵二号煤矿选煤厂项目,"['该项目位于陕西省榆林市陕北能源化工基地，由黄陵矿业公司与江苏悦达集团共同出资建设，选煤工艺采用目前国际先进水平，年处理原煤800万吨，洗煤能力600万吨。', '项目总投资2.3亿元。']",年处理原煤800万吨，洗煤能力600万吨。,['陕煤化工集团黄陵矿业公司'],陕西省榆林市,能源矿产,能源矿产
汉中市江南污水处理厂（二期）工程,"['汉中市江南污水处理厂位于陕西省汉中市大河坎区东南部的冷水河桥西侧，河堤以北，占地6公顷，其中厂区占地4.25公顷、代征城市道路1.75公顷。工艺选用卡鲁塞尔2000型氧化沟工艺，实行二级处理。出水水质达到国家GB18918-2002《城镇污水处理厂污染物排放标准》的一级B标准。污泥进行浓缩脱水后再进行最终处置。污水处理厂建设总规模为日处理污水5万立方米，一次布局设计，分期建设。总投资8498.39万元。', '该项目为污水厂二期工程，日处理污水2.5万立方米。', '工程总投资2032.23万元。']",日处理污水2.5万立方米。,['汉中市城乡建设管理局'],陕西省汉中市,"市政公用,环保",其他
八仙园一级水电站项目,"['该项目是湑水河梯级开发规划的电站，位于洋县境内湑水河干流上游段。坝址以上流域面积1034平方公里，多年平均径流量4.97亿立方米。工程区域地形、地质条件较好，交通便利。电站为日调节引水式电站，工程主要由拦河坝、引水隧洞以及电站厂房等组成。拦河坝坝址位于沙坝附近，坝型为浆砌石拱坝，正常蓄水位934米，最大坝高41.5米，总库容210万立方米；引水隧洞全长3.29公里；电站厂房位于坝址下游约3.42公里右岸滩地；电站设计引水流量27立方米/秒，设计水头69.1米，装机容量1.5万千瓦，多年平均发电量5436万千瓦时。为小Ⅰ型四等工程，拦河坝、发电引水建筑物、发电厂房为4级建筑物。引水枢纽按30年一遇洪水设计，200年一遇洪水校核；电站厂房按50年一遇洪水设计，100年一遇洪水校核。', '工程总投资1.1702亿元。']",装机容量1.5万千瓦。,['洋县隆盛水电有限公司'],陕西省汉中市洋县境内湑水河干流上游段,电力,电力
汉中市江北污水处理（二期）工程,"['汉中市江北污水处理厂位于陕西省汉中市，总规划日处理污水10万吨，总投资1.1679亿元。分两期建设。', '该项目为二期工程，日处理污水5万吨。', '项目总投资3936万元。']",日处理污水5万吨。,['汉中市城乡建设管理局'],陕西省汉中市,"市政公用,环保",其他
榆林经济开发区化工厂自备热电联产工程,"['该工程位于陕西省榆林经济开发区化拱区，建设1×50兆瓦双抽机组、1×25兆瓦背压机组，3台260吨/时高温高压煤粉锅炉。', '工程总投资5.4亿元，其中环保投资6887万元。']",建设1×50兆瓦双抽机组、1×25兆瓦背压机组，3台260吨/时高温高压煤粉锅炉。,['榆林经济开发区鸿源自备热电有限公司'],陕西省榆林市榆林经济开发区,电力,电力
汉中市江南污水处理管网工程,"['汉中市江南污水处理厂位于大河坎区东南部的冷水河桥西侧，河堤以北，占地6公顷，其中厂区占地4.25公顷、代征城市道路1.75公顷。污水处理厂建设总规模为日处理污水5万吨，一次布局设计，分期建设。', '该项目为其中的管网工程，管道总长65.02公里，其中主干管31.9公里，支管33.12公里。', '工程总投资6769.48万元。']",管道总长65.02公里。,['汉中市城乡建设管理局'],陕西省汉中市,"市政公用,环保",其他
商州至漫川关高速公路工程,"['该工程是国家高速公路网规划的银川至福州线的重要组成部分，陕西省“三纵四横五辐射”高速公路网的一条重要放射线，是连接西北、华中和东南沿海地区最为便捷的快速大通道。位于陕西省商洛市境内，路线起于商洛市商州区麻池河乡，与已开工建设的蓝田至商州高速公路相接，向南经下桃园、阎村、下官坊、五竹园、山阳县城、过凤楼、高坝店、天竺山、法官乡、漫川关，至陕鄂界的阎家店止，与湖北省十堰至漫川关高速公路相接，全线长94.5公里，按四车道设计，设计时速80公里，全线在麻池河、阎村、山阳、高坝店、天竺山、漫川关等6处设互通式立交。', '工程总投资54.5亿元。']",全线长94.5公里。,['陕西省交通厅利用外资项目办公室'],陕西省商洛市境内,交通运输,交通运输
八仙园二级水电站项目,"['该项目位于陕西省汉中市洋县境内湑水河干流上游段，是湑水河梯级开发规划的日调节引水式电站。项目主要由拦河坝、引水隧洞以及电站厂房等组成。拦河坝坝址位于黄泥巴梁，坝型为浆砌石重力坝，正常蓄水位861.0米，最大坝高48.5米，总库容589万立方米；引水隧洞全长2.2公里；电站厂房位于坝址下游约2公里的清溪河口左岸；电站设计引水流量39.6立方米/秒，设计水头36米，装机容量1.2万千瓦，多年平均发电量4135万千瓦时。项目等级为小Ⅰ型四等工程，拦河坝、发电引水建筑物、发电厂房为4级建筑物。引水枢纽按30年一遇洪水设计，200年一遇洪水校核；电站厂房按50年一遇洪水设计，100年一遇洪水校核。', '项目总投资1.1401亿元。']",装机容量1.2万千瓦。,['洋县隆盛水电有限公司'],陕西省汉中市洋县境内湑水河干流上游段,电力,电力
郑州至西安客运专线西安枢纽客运北环线工程,"['郑州至西安客运专线位于河南、陕西省境内，线路经过郑州、新荥阳、新巩义、洛阳南、新渑池、新三门峡、新灵宝、新华山、新渭南、新临潼，终于西安北，分别连接京广通道（包括京广客运专线）、大湛通道、包柳通道。正线全长484.518公里。设计速度350公里/时，工程总投资369.7亿元。', '该工程是郑州至西安客运专线西安枢纽客运北环线工程，线路自客专新建的新临潼车站引出，依枢纽货运北环线北侧西行，跨西阎高速公路，于新筑车站东端上跨建设中的枢纽北环线，至其南侧；跨灞河、西铜一级公路，在西安饶城高速公路以北设西安北客站，客专自西安北站引出，西行跨沣河及渭河、从咸阳站车场北侧通过，过咸阳站西闸口后与既有陇海线相接引入咸阳西站。线路全长56.779公里，新建车站1个。', '工程总投资58亿元。']",线路全长56.779公里，新建车站1个。,['郑西铁路客运专线有限责任公司'],陕西省,交通运输,交通运输
郑州至西安客运专线引入西安枢纽跨线联络线工程,"['该项目位于陕西省西安市临潼区及灞桥区，自新临潼站引出，与客运北环线并行，其右线上跨客运北环线后，依次上跨货运北环线、货运北环线与西康线联络线，依既有西康线北侧西行，在柳树村设线路所，于灞桥堡与陇海铁路并行，跨灞河后接入陇海线灞桥站，线路全长23.663公里。', '项目总投资8.53亿元。']",线路全长23.663公里。,['郑西铁路客运专线有限责任公司'],陕西省西安市临潼区、灞桥区,交通运输,交通运输
灞桥热电厂改扩建工程,"['大唐集团灞桥热电厂位于陕西省西安市东郊，始建于1951年，是我国“一五”时期156项重点工程之一，历经五期扩建，装机达到27.3万千瓦，承担着西安市城东区军工、航天、纺织、医药、高校、医院等132家企事业单位的生产、生活用汽和近15万户居民采暖及部分用户夏季集中制冷任务。', '该项目为改扩建“上大压小”工程，建设两台30万千瓦燃煤发电机组，替代关停3号、4号、8号机组。', '工程总投资26亿元。']",建设两台30万千瓦燃煤发电机组。,['大唐西安灞桥热电有限责任公司'],陕西省西安市东郊,电力,电力
府谷庙沟门电厂（二期）工程,"['府谷庙沟门电厂位于陕北地区榆林市府谷县西北约38公里的沙梁川河道漫滩处，北距庙沟门镇1.5公里，是三道沟煤矿煤电一体化项目配套电厂工程，规划装机6×60万千瓦亚临界空冷燃煤发电机组，配套建设900万吨/年的三道沟煤矿。总投资150亿元，是“西电东送”北线方案重点项目。', '该项目为电厂二期工程，拟在电厂一期工程扩建端的施工场地上建设。建设2×60万千瓦超临界空冷燃煤发电机组。', '工程总投资40亿元，由北京德源投资有限公司和陕西煤业集团共同出资建设，出资比例为70%和30%，资本金以外资金申请银行贷款解决。']",建设2×60万千瓦超临界空冷燃煤发电机组。,['陕西德源府谷能源有限公司'],陕西省榆林市府谷县,电力,电力
铜川新区供水工程（日行贷款）,"['该项目为陕西省城镇供水利用日本政府贷款项目，是铜川新区基础设施建设项目，由陕西省桃曲坡水库灌溉管理局负责建设。工程主要内容：在铜川新区净水厂新建8万立方米调蓄水池一座，新增2万立方米/吨的水处理系列一套；新建铜川新区城市配水管网112公里。', '工程总投资8551万元。']",新建8万立方米调蓄水池一座，新增日处理能力2万立方米的水处理系列一套，新建铜川新区城市配水管网112公里。,['陕西省桃曲坡水库灌溉管理局'],陕西省铜川市新区,市政公用,其他
府谷庙沟门电厂（二期）脱硫脱硝工程,"['府谷庙沟门电厂位于陕北地区榆林市府谷县西北约38公里的沙梁川河道漫滩处，北距庙沟门镇1.5公里，是三道沟煤矿煤电一体化项目配套电厂工程，规划装机6×60万千瓦亚临界空冷燃煤发电机组，配套建设900万吨/年的三道沟煤矿。总投资规模估算150亿元，是“西电东送”北线方案重点项目。', '该项目为电厂二期脱硫脱硝工程，对2×60万千瓦超临界空冷燃煤发电机组进行烟气脱硫、脱硝。', '工程总投资3亿元。']",对2×60万千瓦超临界空冷燃煤发电机组进行烟气脱硫、脱硝。,['陕西德源府谷能源有限公司'],陕西省榆林市府谷县,"电力,环保",电力
西安至平凉铁路（陕西境）工程,"['西平铁路起自西安枢纽茂陵站，向西经礼泉、乾县、永寿、彬县、长武、甘肃省泾川，止于平凉站，全长279.1公里，采用国铁Ⅰ级单线（局部一次双线）标准，电力机车牵引，牵引质量5000吨，设计行车速度120公里/小时，远景输送能力为年货运5000万吨，日通过客车8对。项目总投资56.3亿元。', '该工程为西平铁路陕西境内段，全长172公里，在礼泉、乾县、永寿、彬县、彬县西、大佛寺、长武、齐家河共设8个货（客）车站。近期年设计货运能力2966万吨、日客运列车4对，远期货运能力10847万吨，日客运列车6对，旅客列车时速120公里。', '工程总投资45.5亿元，建设工期3.5年。']",铁路全长172公里。,['西安市铁路局'],陕西省,交通运输,交通运输
陕西神木电厂（二期）工程（西电东送）,"['锦界煤电一体化项目位于陕西省榆林市神木县锦界工业园区，是目前国内最具典型意义的""煤电一体化""开发建设项目、陕西省首个""西电东送""的电源点项目、榆林能源化工基地建设的标志性工程，由规划容量6×600兆瓦的电厂和规划建设总规模为年产原煤1000万吨的配套煤矿组成。其中电厂是继长江三峡工程、山西阳城电厂后第三家由国家电网公司直接调度的电厂。', '该项目为配套电厂二期工程，建设2台60万千瓦国产亚临界燃煤空冷发电机组，同步安装烟气脱硫装置，在一期工程扩建端预留场地上继续建设。电厂选用直接空冷机组，年用水量约400万立方米，年需燃煤约250万吨，电厂采用干除灰方式，工程安装高效静电除尘器和烟气在线连续监测系统，采用低氮燃烧技术，并预留脱氮空间。', '工程总投资45.75亿元。']",建设2台60万千瓦国产亚临界燃煤空冷发电机组。,['陕西国华锦界能源有限责任公司'],陕西省榆林市神木县锦界工业园区,电力,电力
沙河湾至榆林南铁路支线项目,"['该项目位于陕西省榆林市，为沙河湾至榆林南铁路支线，工程新建Ⅰ级铁路30公里。', '项目总投资5亿元。']",铁路全长30公里。,['榆林市发展改革委员会'],陕西省榆林市,交通运输,交通运输
陕西公路发展（二期）项目（世行贷款）,"['该项目为国家高速公路网规划中包头至茂名国家高速公路的重要路段，也是西部开发八条公路干线阿荣旗至北海公路的重要组成部分。项目起自安康市五里镇尹家营村，接在建的小河至安康高速公路，经流水、紫阳、高滩，止于毛坝，接拟建的毛坝经陕川界至四川达州高速公路，全长92公里，全线采用双向四车道高速公路标准建设。', '项目总投资70.7亿元，其中利用世行贷款2.6亿美元用于高速公路项目建设，0.4亿美元用于地方道路建设。']",线路全长92公里。,['陕西省交通厅'],陕西省,交通运输,交通运输
十堰至天水高速公路陕西境工程,"['十堰至天水高速公路工程东起湖北十堰市，西至甘肃天水市，走向与316国道大致相同，途经湖北、陕西和甘肃三省，规划总里程750公里。', '该工程是陕西境内路段，起自白河县城东，止于陕甘交界的白水江，全长503公里，其中连络线18公里，设计行车速度每小时80和100公里。', '工程总投资320.3亿元。']",线路全长503公里。,['陕西省高速公路建设集团公司'],陕西省,交通运输,交通运输
陕西神木电厂（三期）工程（西电东送）,"['锦界煤电一体化项目位于陕西省榆林市神木县锦界工业园区，是目前国内最具典型意义的“煤电一体化”开发建设项目、陕西省首个“西电东送”的电源点项目、榆林能源化工基地建设的标志性工程，由规划建设6台60万千瓦发电机组和规划建设总规模为年产原煤1000万吨的配套煤矿组成。其中电厂是继长江三峡工程、山西阳城电厂后第三家由国家电网公司直接调度的电厂。', '该项目为配套电厂三期工程，建设两台60万千瓦国产亚临界燃煤空冷发电机组。', '工程总投资45亿元。']",建设两台60万千瓦国产亚临界燃煤空冷发电机组。,['陕西国华锦界能源有限责任公司'],陕西省榆林市神木县锦界工业园区,电力,电力
红柳林至神木西铁路专用线工程,"['该工程位于陕西省榆林市神木县境内，东起神延铁路红柳林预留站，穿过骆驼场隧道、沙峁沟隧道，沿考考乌素沟西行，设张家峁、柠条塔、侯家母三个中间站，西接新建包西复线神木西站，线路正线全长42.334公里，按单线电气化、地方铁路一级标准建设，设计年通过能力3000万吨，按东西双向运输年能力可达6000万吨。', '项目总投资11.97亿元，计划三年建成，其中红柳林至柠条塔段已于2006年11月开工，于2008年底建成，以满足柠条塔矿煤炭外运的需要；柠条塔至神木西段计划于2007年9月开工，2009年底与包西复线同步建成。']",线路正线全长42.334公里。,['陕西红柠铁路有限责任公司'],陕西省榆林市神木县,交通运输,交通运输
陕西神木电厂（三期）脱硫工程（西电东送）,"['锦界煤电一体化项目位于陕西省榆林市神木县锦界工业园区，是目前国内最具典型意义的“煤电一体化”开发建设项目、陕西省首个“西电东送”的电源点项目和榆林能源化工基地建设的标志性工程，由规划容量6×60万千瓦的电厂和规划建设总规模为年产原煤1000万吨的配套煤矿组成。其中电厂是继长江三峡工程、山西阳城电厂后第三家由国家电网公司直接调度的电厂。', '该项目为配套电厂三期脱硫工程，对2台60万千瓦级国产亚临界燃煤空冷发电机组进行烟气脱硫处理。', '工程总投资2亿元。']",对2台60万千瓦级国产亚临界燃煤空冷发电机组进行烟气脱硫处理。,['陕西国华锦界能源有限责任公司'],陕西省榆林市神木县锦界工业园区,"电力,环保",电力
